EXPLOIT-ID,CVE-ID
"
                            ","
                                    "
"
                        ","
                               
                        "
"
                            "," 
                            TOTAL CVE Records: "
EXPLOIT-DB:10102,CVE-2009-4186
EXPLOIT-DB:1013,CVE-2005-1598
EXPLOIT-DB:10168,CVE-2009-4767
EXPLOIT-DB:10180,CVE-2009-4091
EXPLOIT-DB:10183,CVE-2011-4906
EXPLOIT-DB:10201,CVE-2009-4781
EXPLOIT-DB:10216,CVE-2009-4223
EXPLOIT-DB:10217,CVE-2009-4779
EXPLOIT-DB:10218,CVE-2009-4082
EXPLOIT-DB:10220,CVE-2009-4220
EXPLOIT-DB:10226,CVE-2009-4097
EXPLOIT-DB:10231,CVE-2009-4096
EXPLOIT-DB:10245,CVE-2009-4221
EXPLOIT-DB:10246,CVE-2009-4224
EXPLOIT-DB:10258,CVE-2009-4194
EXPLOIT-DB:10259,CVE-2009-4156
EXPLOIT-DB:10276,CVE-2009-4196
EXPLOIT-DB:10299,CVE-2009-4263
EXPLOIT-DB:10300,CVE-2009-4252
EXPLOIT-DB:10301,CVE-2009-4255
EXPLOIT-DB:10329,CVE-2009-4264
EXPLOIT-DB:10330,CVE-2009-4569
EXPLOIT-DB:10336,CVE-2009-4266
EXPLOIT-DB:10338,CVE-2009-4413
EXPLOIT-DB:10354,CVE-2009-4567
EXPLOIT-DB:10358,CVE-2009-4256
EXPLOIT-DB:10361,CVE-2009-4600
EXPLOIT-DB:10366,CVE-2009-4599
EXPLOIT-DB:10367,CVE-2009-4598
EXPLOIT-DB:10369,CVE-2009-4604
EXPLOIT-DB:10370,CVE-2009-4596
EXPLOIT-DB:10387,CVE-2009-4320
EXPLOIT-DB:10393,CVE-2009-4386
EXPLOIT-DB:10399,CVE-2009-4381
EXPLOIT-DB:10405,CVE-2009-4317
EXPLOIT-DB:10406,CVE-2009-4905
EXPLOIT-DB:10410,CVE-2009-4427
EXPLOIT-DB:10412,CVE-2009-4906
EXPLOIT-DB:10413,CVE-2009-4318
EXPLOIT-DB:10422,CVE-2009-4319
EXPLOIT-DB:10433,CVE-2009-4827
EXPLOIT-DB:10436,CVE-2009-4349
EXPLOIT-DB:10438,CVE-2009-4828
EXPLOIT-DB:10439,CVE-2009-4384
EXPLOIT-DB:10443,CVE-2009-4382
EXPLOIT-DB:10444,CVE-2009-4826
EXPLOIT-DB:10446,CVE-2009-4351
EXPLOIT-DB:10466,CVE-2009-4348
EXPLOIT-DB:10478,CVE-2009-4433
EXPLOIT-DB:10480,CVE-2009-4372
EXPLOIT-DB:10484,CVE-2009-4452
EXPLOIT-DB:10490,CVE-2009-4425
EXPLOIT-DB:10513,CVE-2009-4367
EXPLOIT-DB:10519,CVE-2009-4823
EXPLOIT-DB:10520,CVE-2009-4437
EXPLOIT-DB:10529,CVE-2009-4436
EXPLOIT-DB:10533,CVE-2009-4430
EXPLOIT-DB:10534,CVE-2009-4403
EXPLOIT-DB:10535,CVE-2009-4424
EXPLOIT-DB:10536,CVE-2009-4435
EXPLOIT-DB:10554,CVE-2009-4459
EXPLOIT-DB:10568,CVE-2009-4818
EXPLOIT-DB:10569,CVE-2009-4426
EXPLOIT-DB:10573,CVE-2009-4825
EXPLOIT-DB:10576,CVE-2009-4820
EXPLOIT-DB:10578,CVE-2009-4817
EXPLOIT-DB:10581,CVE-2009-4822
EXPLOIT-DB:10584,CVE-2009-4819
EXPLOIT-DB:10586,CVE-2009-4432
EXPLOIT-DB:10598,CVE-2009-4465
EXPLOIT-DB:10599,CVE-2009-4816
EXPLOIT-DB:10606,CVE-2009-4423
EXPLOIT-DB:10616,CVE-2009-4460
EXPLOIT-DB:10622,CVE-2009-4813
EXPLOIT-DB:10626,CVE-2009-4447
EXPLOIT-DB:10637,CVE-2009-5019
EXPLOIT-DB:10641,CVE-2009-4580
EXPLOIT-DB:10645,CVE-2009-4458
EXPLOIT-DB:10649,CVE-2009-4453
EXPLOIT-DB:10653,CVE-2009-4678
EXPLOIT-DB:10668,CVE-2009-4469
EXPLOIT-DB:10672,CVE-2009-4451
EXPLOIT-DB:10688,CVE-2009-4461
EXPLOIT-DB:107,CVE-2003-0831
EXPLOIT-DB:10709,CVE-2009-4446
EXPLOIT-DB:10710,CVE-2009-4456
EXPLOIT-DB:10734,CVE-2009-4576
EXPLOIT-DB:10737,CVE-2009-4578
EXPLOIT-DB:10738,CVE-2009-4575
EXPLOIT-DB:10742,CVE-2009-4583
EXPLOIT-DB:10745,CVE-2009-5109
EXPLOIT-DB:10747,CVE-2009-5109
EXPLOIT-DB:10754,CVE-2009-4679
EXPLOIT-DB:10766,CVE-2009-4736
EXPLOIT-DB:10782,CVE-2009-5109
EXPLOIT-DB:10793,CVE-2009-4581
EXPLOIT-DB:10807,CVE-2009-4582
EXPLOIT-DB:10809,CVE-2009-4574
